Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
745,12/17/2018,600036.SH,879889.477,-0.04,28.29,28.5,28.1,28.33,-0.1412,28.33,311303.74,0.48271307,0.480266225,6.63,11.89,14.47,4.14,
746,12/16/2018,600036.SH,,,,,,,,,,0.784343905,0.475631397,,,,,
747,12/15/2018,600036.SH,,,,,,,,,,0.787546871,0.451743671,,,,,
748,12/14/2018,600036.SH,1127759.787,-0.42,28.33,28.61,28.2,28.57,-1.4609,28.75,398155.4,0.629345698,0.418958583,6.64,12.24,14.66,4.2,
749,12/13/2018,600036.SH,1586329.607,0.29,28.75,29.07,28.41,28.53,1.019,28.46,551520.33,0.480859297,0.339286123,6.74,13.13,14.99,4.33,
750,12/12/2018,600036.SH,577042.564,-0.05,28.46,29,28.41,29,-0.1754,28.51,202093.93,0.46621363,0.99651456,6.72,13.24,14.68,4.25,
751,12/11/2018,600036.SH,645883.574,0.17,28.51,28.55,28.28,28.35,0.5999,28.34,227290.13,0.512447607,0.52706676,6.72,13.44,14.89,4.22,
752,12/10/2018,600036.SH,756722.667,-0.24,28.34,28.5,28.22,28.3,-0.8397,28.58,266986.42,0.568256684,0.534866849,6.72,13.15,14.66,4.2,
753,12/9/2018,600036.SH,,,,,,,,,,0.374828541,0.544739424,,,,,
754,12/8/2018,600036.SH,,,,,,,,,,,0.996058185,,,,,
755,12/7/2018,600036.SH,878968.664,-0.32,28.58,29.19,28.53,29.09,-1.1073,28.9,305228.73,0.43063962,0.49996669,6.82,14.45,14.77,4.31,
756,12/6/2018,600036.SH,1079103.636,-0.47,28.9,29.15,28.78,28.9,-1.6003,29.37,373380.23,0.483659749,0.683202078,6.78,14.3,14.42,4.29,
757,12/5/2018,600036.SH,771310.493,-0.2,29.37,29.57,29,29.16,-0.6764,29.57,262307.36,0.664721,0.619102069,6.92,13,14.93,4.37,
758,12/4/2018,600036.SH,954515.438,0.11,29.57,29.63,29.31,29.42,0.3734,29.46,323685.58,0.508405502,0.000521454,6.99,13.71,14.97,4.43,
759,12/3/2018,600036.SH,2026234.683,0.91,29.46,29.63,28.93,29.49,3.1874,28.55,690255.56,0.431839356,0.557264983,7.1,13.81,14.94,4.35,
760,12/2/2018,600036.SH,,,,,,,,,,0.619560616,0.83749579,,,,,
761,12/1/2018,600036.SH,,,,,,,,,,0.390316215,0.532925511,,,,,
762,11/30/2018,600036.SH,724904.871,0.25,28.55,28.58,28.21,28.26,0.8834,28.3,254380.81,0.333419202,0.538418648,6.92,,14.53,4.27,
763,11/29/2018,600036.SH,1132138.876,0.02,28.3,28.6,28.3,28.5,0.0707,28.28,397949.93,0.544434375,0.514288076,6.89,,14.4,4.71,
764,11/28/2018,600036.SH,821440.564,0.29,28.28,28.35,28.05,28.07,1.0361,27.99,290873.89,0.520023001,0.35200338,7.3,,14.64,4.61,
765,11/27/2018,600036.SH,949634.239,-0.28,27.99,28.38,27.85,28.22,-0.9904,28.27,337658.56,0.521062183,0.999999999,6.96,,14.18,4.56,
766,11/26/2018,600036.SH,775964.832,0.39,28.27,28.35,27.91,28,1.3989,27.88,275469.54,0.537501257,1.04E-06,6.95,,13.96,4.55,
767,11/25/2018,600036.SH,,,,,,,,,,0.251988358,0.489606109,,,,,
768,11/24/2018,600036.SH,,,,,,,,,,,0.971696436,,,,,
769,11/23/2018,600036.SH,912620.571,-0.42,27.88,28.35,27.88,28.29,-1.4841,28.3,325389.36,0.542919923,0.898114531,6.98,,14.16,4.5,
770,11/22/2018,600036.SH,778816.956,-0.1,28.3,28.45,28.1,28.41,-0.3521,28.4,275858.49,0.425863638,0.618570249,7.11,,14.66,4.72,
771,11/21/2018,600036.SH,914660.533,-0.02,28.4,28.43,28.1,28.2,-0.0704,28.42,323377.87,0.477347138,0.662998061,7.12,,14.73,4.65,
772,11/20/2018,600036.SH,963552.925,-0.53,28.42,28.84,28.31,28.79,-1.8307,28.95,338277.88,0.5023568,0.606831071,7.2,,15.6,4.55,
773,11/19/2018,600036.SH,1450517.213,0.47,28.95,29.04,28.45,28.7,1.6503,28.48,502881.77,0.456261871,0.707969409,7.21,,15.7,4.7,
774,11/18/2018,600036.SH,,,,,,,,,,0.494765928,0.744363293,,,,,
775,11/17/2018,600036.SH,,,,,,,,,,0.654903389,0.706474436,,,,,
776,11/16/2018,600036.SH,1413615.056,0.1,28.48,28.68,28.19,28.38,0.3524,28.38,496955.28,0.461884062,0.003655052,7.32,,15.72,4.96,
777,11/15/2018,600036.SH,1002719.255,0.22,28.38,28.47,28.08,28.24,0.7813,28.16,354124.35,0.563679792,0.572048554,7.1,,16.3,4.8,
778,11/14/2018,600036.SH,1513190.239,-0.42,28.16,28.65,28,28.58,-1.4696,28.58,535874.79,0.488973374,0.556890302,7.9,,15.6,4.92,
779,11/13/2018,600036.SH,1424073.098,0.02,28.58,28.77,28.05,28.1,0.07,28.56,500356.45,0.405905356,0.548566841,7.2,,15.58,4.58,
780,11/12/2018,600036.SH,1942560.148,-0.04,28.56,28.7,28.23,28.4,-0.1399,28.6,683977.44,0.436756823,0.521999746,7.8,,15.52,4.32,
781,11/11/2018,600036.SH,,,,,,,,,,0.536369253,0.000440451,,,,,
782,11/10/2018,600036.SH,,,,,,,,,,0.427950328,0.367266824,,,,,
783,11/9/2018,600036.SH,3429467.883,-1.41,28.6,29.6,28.49,29.6,-4.6984,30.01,1193021.21,0.386772095,0.427868786,6.95,,15,4.18,
784,11/8/2018,600036.SH,1440021.978,0.44,30.01,30.37,29.8,30.02,1.488,29.57,479149.76,0.492490775,0.009161425,6.97,,15.3,4.27,
785,11/7/2018,600036.SH,1639026.34,-0.3,29.57,30.2,29.53,29.88,-1.0044,29.87,549867.67,0.597066103,0.999510885,6.99,,15.4,4.2,
786,11/6/2018,600036.SH,1116052.434,-0.13,29.87,30.11,29.36,30,-0.4333,30,375065.53,0.510622154,0.38770802,7,,15.4,4.22,
787,11/5/2018,600036.SH,1283209.565,-0.33,30,30.23,29.71,29.85,-1.088,30.33,428334.88,0.500996843,0.365326065,7.8,,15.3,4.21,
