Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r3,r4,r5,Ret,PE,PB,PCF,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2018-01-16,0,1080,000858.SZ,3335555.956,-0.93,90.82,92.5,89.87,90.61,-1.01,91.75,366155.22,0.460083925,0.471937185,7.88,1.99,18.76,13.6,1.871834,35.637753,6.305513,58.176908,11.420552,0.00965,344730000000.0,-0.01014,6e-06,,,,,,,,90.82,90.82,0.0,0.0,,,,,,,0.0,0.0,2.6299999999999955,,,,,,89.82
2018-01-17,1,1079,000858.SZ,4346534.429,-4.81,86.01,91.12,85.65,90.3,-5.3,90.82,496108.96,0.454222436,0.999997304,7.94,11.16,18.55,14.9,1.976514,33.75031,5.971561,55.095748,10.815698,0.01307,326473000000.0,-0.05296,7e-06,,,,,,,,90.08,90.46370370370369,-0.3837037037036879,-0.07674074074073758,,,,,-1.3799999999999955,4.219999999999999,0.0,4.219999999999999,5.469999999999999,,,,,,85.01
2018-01-18,2,1078,000858.SZ,3712081.698,0.39,86.4,88.35,84.3,86.31,0.45,86.01,429700.9,0.584314903,0.631149416,7.83,11.15,18.85,14.6,1.967593,33.903346,5.998639,55.345572,10.86474,0.01132,327953000000.0,0.00453,6e-06,,,,,,,,89.51384615384615,90.16268861454046,-0.6488424606943113,-0.19116108473145232,,,,,-2.7700000000000102,1.3500000000000085,0.0,1.3500000000000085,4.049999999999997,,,,,,85.4
2018-01-19,3,1077,000858.SZ,3259552.587,-1.23,85.17,86.88,84.31,86.4,-1.42,86.4,382003.65,0.579375887,0.605620515,7.82,11.4,18.26,14.4,1.996008,33.420694,5.913241,54.557666,10.710068,0.01006,323284000000.0,-0.01424,6e-06,,,,,,,,88.84556213017751,89.7928598282782,-0.9472976981006838,-0.34238840740529863,,,,,-1.4699999999999989,0.010000000000005116,0.0,0.010000000000005116,2.569999999999993,,,,,,84.17
2018-01-20,4,1076,000858.SZ,3815494.6925,2.82,88.41,89.425,84.985,85.99000000000001,3.305,85.59,437762.215,0.50036842,0.999992591,7.915,11.325,18.74,14.47,1.923854,34.6920695,6.1381905,56.633125,11.117496,0.011535,335582500000.0,0.033085,6.5e-06,87.362,,,,,,,88.77855257168866,89.69042576692425,-0.9118731952355859,-0.4562853649713561,,,,,2.5450000000000017,0.6749999999999972,2.5450000000000017,0.0,4.439999999999998,,,,,,87.41
2018-01-21,5,1075,000858.SZ,3349763.4585,-0.97,87.44,88.84,86.36,88.41,-1.105,88.41,383342.655,0.611315079,0.445789333,7.87,11.5,18.91,14.27,1.9455015,34.3114415,6.0708445,56.0117685,10.995519,0.010095,331900500000.0,-0.011045,6e-06,86.686,,,,,,,88.5726214068135,89.5237275619669,-0.951106155153397,-0.5552495230077643,,,,,-0.5849999999999937,1.375,0.0,1.375,2.480000000000004,,,,,,86.44
2018-01-22,6,1074,000858.SZ,3918907.687,5.25,90.42,90.5,85.67,85.67,6.16,85.17,445823.53,0.458528986,0.999657339,8.0,11.5,18.63,14.34,1.880115,35.480793,6.277742,57.920678,11.370252,0.01175,343212000000.0,0.06164,7e-06,87.56800000000001,87.80999999999999,,,,,,88.85683349807296,89.5901181129323,-0.7332846148593433,-0.5908565413780802,,,,,1.6599999999999966,0.6899999999999977,1.6599999999999966,0.0,4.829999999999998,,,,,,89.42
2018-01-23,7,1073,000858.SZ,3439974.33,-0.71,89.71,90.8,88.41,90.42,-0.79,90.42,384681.66,0.576689031,0.31929823,7.92,11.6,19.56,14.14,1.894995,35.202189,6.228448,57.465871,11.28097,0.01013,340517000000.0,-0.00785,6e-06,88.22999999999999,87.65142857142857,,,,,,88.98808988298481,89.59899825271509,-0.6109083697302822,-0.5948669070485206,,,,,0.29999999999999716,2.739999999999995,0.0,2.739999999999995,2.3900000000000006,,,,,,88.71
2018-01-24,8,1072,000858.SZ,3063373.44,-2.36,87.35,89.58,86.66,89.58,-2.63,89.71,349695.75,0.459317631,0.416538487,8.8,11.8,19.39,13.89,1.946193,34.276126,6.064596,55.954117,10.984202,0.00921,331559000000.0,-0.02631,6e-06,88.66600000000001,87.84285714285714,,,,,,88.7360760548333,89.43240578955101,-0.6963297347177075,-0.615159472582358,,,,,-1.2199999999999989,1.75,0.0,1.75,2.9200000000000017,,,,,,86.35
2018-01-25,9,1071,000858.SZ,3604252.895,-1.35,86.0,87.09,84.18,86.6,-1.55,87.35,421128.92,0.485932513,0.452447107,7.99,11.68,19.0,13.86,1.976744,33.746386,5.970867,55.089342,10.81444,0.01109,326435000000.0,-0.01546,6e-06,88.184,87.78571428571429,,,,,,88.31514127716663,89.17815350884352,-0.8630122316768905,-0.6647300244012646,,,,,-2.489999999999995,2.4799999999999898,0.0,2.4799999999999898,2.9099999999999966,,,,,,85.0
2018-01-26,10,1070,000858.SZ,2700119.273,0.84,86.84,87.77,85.12,85.5,0.98,86.0,312053.75,0.468840395,0.482359277,7.96,11.47,18.64,13.72,1.957623,34.076002,6.029187,55.627424,10.92007,0.00822,329623000000.0,0.00977,6e-06,88.064,88.02428571428572,,,,,,88.08819646529484,89.0049569526329,-0.9167604873380526,-0.7151361169886222,,,,,0.6799999999999926,0.9399999999999977,0.0,0.9399999999999977,2.6499999999999915,,,,,,85.84
2018-01-27,11,1069,000858.SZ,4274082.0615,-3.055,84.03999999999999,86.845,82.94,86.6,-3.515,87.095,506256.095,0.437986436,0.00443556,7.895,11.505,18.83,13.72,2.023947,32.977282,5.834787,53.8338175,10.5679715,0.013335,318995000000.0,-0.035135,6e-06,86.78799999999998,87.39999999999999,,,,,,87.46539700909564,88.63718236354897,-1.171785354453334,-0.8064659644815646,,,,,-0.9249999999999972,2.180000000000007,0.0,2.180000000000007,3.905000000000001,,,,,,83.03999999999999
2018-01-28,12,1068,000858.SZ,2876119.3435,0.0799999999999999,84.12,85.425,82.62,83.3,0.075,84.03999999999999,343337.76,0.490925381,0.059065451,7.895,11.365,18.47,12.670658134660542,2.0230375,33.0086745,5.840341,53.8850635,10.578032,0.009045,319298500000.0,0.000745,6e-06,85.67,86.92571428571429,,,,,,86.95072054615784,88.30257626254534,-1.3518557163875045,-0.9155439148627527,,,,,-1.4200000000000017,0.3199999999999932,0.0,0.3199999999999932,2.8049999999999926,,,,,,83.12
2018-01-29,13,1067,000858.SZ,4943911.228,-4.76,82.08,86.6,81.7,86.6,-5.48,86.84,591383.27,0.532923644,0.500943499,7.8,11.33,18.66,12.410115123359876,2.07115,32.208178,5.698707,52.578293,10.321503,0.01558,311555000000.0,-0.05481,6e-06,84.616,85.73428571428572,,,,,,86.20137892367202,87.84164468754199,-1.6402657638699623,-1.0604882846641948,-96.48148148148152,3.5185185185184773,,,1.1749999999999972,0.9200000000000017,1.1749999999999972,0.0,4.8999999999999915,10.990806945863124,35.474974463738526,52.69289953836011,,,81.08
2018-01-30,14,1066,000858.SZ,3052119.414,-0.68,81.4,83.08,80.12,81.1,-0.83,82.08,374621.77,0.543407138,0.999980028,7.83,11.26,18.3,12.364800668236931,2.088452,31.941347,5.651495,52.142703,10.235994,0.00987,308974000000.0,-0.00828,6e-06,83.696,84.54714285714286,,,,,30.759803921568675,85.4627052431071,87.36448582179813,-1.9017805786910316,-1.2287467434695623,-88.36363636363636,11.636363636363646,,,-3.519999999999996,1.5799999999999983,0.0,1.5799999999999983,2.9599999999999937,10.917207792207792,38.44358766233768,55.765673175745135,,,80.4
2018-01-31,15,1065,000858.SZ,3505918.466,2.98,84.38,85.09,81.32,81.32,3.66,81.4,417881.43,0.52131972,0.667898828,7.76,11.45,17.46,12.352241981670296,2.014695,33.110698,5.858393,54.051613,10.610727,0.01101,320285000000.0,0.03661,6e-06,83.204,84.12285714285714,,,,,46.401766004414995,85.29613520570601,87.14341279796122,-1.8472775922552103,-1.352452913226692,-60.112359550561855,39.887640449438145,18.347507534773424,82.96790627876757,2.010000000000005,1.1999999999999886,2.010000000000005,0.0,3.7700000000000102,15.531736023539313,30.94787725935268,33.167533348406046,,,83.38
