Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r3,r4,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2018-01-16,0,1080,600036.SH,2080015.556,-0.05,31.89,32.28,31.54,31.8,-0.16,31.94,652819.03,0.460083925,0.500282672,6.85,29.68,12.14,2.947632,11.464874,1.663786,3.786842,0.00316,804261000000.0,-0.00157,8e-06,,,,,,,,31.89,31.89,0.0,0.0,,,,,,,0.0,0.0,0.740000000000002,,,,,,30.89
2018-01-17,1,1079,600036.SH,3328493.188,-0.2,31.69,33.11,31.5,32.1,-0.63,31.89,1026546.38,0.454222436,0.668017648,6.89,29.28,12.4,2.966235,11.392971,1.653352,3.763093,0.00498,799217000000.0,-0.00627,8e-06,,,,,,,,31.85923076923077,31.875185185185185,-0.015954415954414713,-0.003190883190882943,,,,,0.8299999999999983,0.03999999999999915,0.8299999999999983,0.0,1.6099999999999994,,,,,,30.69
2018-01-18,2,1078,600036.SH,2628880.183,0.63,32.32,32.75,32.1,32.1,1.99,31.69,811039.71,0.584314903,0.999999983,6.87,29.2,12.26,2.908416,11.619464,1.68622,3.837903,0.00393,815105000000.0,0.01988,8e-06,,,,,,,,31.930118343195268,31.90813443072702,0.02198391246824727,0.0018440759409430992,,,,,-0.35999999999999943,0.6000000000000014,0.0,0.6000000000000014,0.6499999999999986,,,,,,31.32
2018-01-19,3,1077,600036.SH,2769050.365,0.14,32.46,33.35,32.21,32.66,0.43,32.32,841328.9,0.579375887,0.25403822,6.85,29.4,12.55,2.895872,11.669796,1.693524,3.854528,0.00408,818636000000.0,0.00433,7e-06,,,,,,,,32.011638598088304,31.949013361784278,0.06262523630402583,0.014000308013559646,,,,,0.6000000000000014,0.10999999999999943,0.6000000000000014,0.0,1.1400000000000006,,,,,,31.46
2018-01-20,4,1076,600036.SH,2880207.4245,0.625,32.7,33.195,32.125,32.14,1.95,32.075,878384.63,0.50036842,0.25040418,6.895,29.45,12.41,2.875006,11.756079,1.7060460000000002,3.883027,0.004255,824688500000.0,0.01949,7.499999999999999e-06,32.212,,,,,,,32.117540352228566,32.00464200165211,0.11289835057645803,0.03377991652613932,,,,,-0.15500000000000114,0.08500000000000085,0.0,0.08500000000000085,1.0700000000000003,,,,,,31.700000000000003
2018-01-21,5,1075,600036.SH,2854920.223,0.5549999999999999,33.254999999999995,33.760000000000005,32.705,32.93,1.6800000000000002,32.7,855161.86,0.611315079,0.812843285,6.9,29.325,12.525,2.828259,11.955609,1.7350015,3.948932,0.004145,838686000000.0,0.016825,7e-06,32.485,,,,,,,32.292534144193404,32.097261112640844,0.19527303155255993,0.06607853953142345,,,,,0.5650000000000048,0.5799999999999983,0.0,0.5799999999999983,1.0550000000000068,,,,,,32.254999999999995
2018-01-22,6,1074,600036.SH,3131534.666,0.62,33.08,33.64,32.15,32.18,1.91,32.46,945729.55,0.458528986,0.016392713,6.92,29.7,12.56,2.841596,11.892694,1.725872,3.928151,0.00458,834272000000.0,0.0191,7e-06,32.763,32.485,,,,,,32.41368273739442,32.17005658577856,0.24362615161585666,0.1015880619483101,,,,,-0.12000000000000455,0.5549999999999997,0.0,0.5549999999999997,1.490000000000002,,,,,,32.08
2018-01-23,7,1073,600036.SH,2940790.081,0.97,34.05,34.17,33.2,33.2,2.93,33.08,868994.82,0.576689031,0.15372405,6.95,29.25,12.5,2.760646,12.241422,1.776479,4.043336,0.00421,858736000000.0,0.02932,7e-06,33.108999999999995,32.793571428571425,,,,,,32.665423854718355,32.30931165349867,0.35611220121968756,0.15249288980258563,,,,,0.5300000000000011,1.0500000000000043,0.0,1.0500000000000043,0.9699999999999989,,,,,,33.05
2018-01-24,8,1072,600036.SH,4066613.177,-0.2,33.85,35.35,33.45,34.25,-0.59,34.05,1176483.67,0.459317631,0.055613093,6.96,29.27,12.49,2.776957,12.169519,1.766044,4.019586,0.0057,853692000000.0,-0.00587,7e-06,33.387,33.10214285714285,,,,,,32.84766633860784,32.423436716202474,0.4242296224053632,0.20684023632314114,,,,,1.1799999999999997,0.25,1.1799999999999997,0.0,1.8999999999999986,,,,,,32.85
2018-01-25,9,1071,600036.SH,2631028.018,-0.44,33.41,34.02,32.9,34.01,-1.3,33.85,789040.29,0.485932513,0.235252,6.97,29.1,12.57,2.813529,12.011333,1.743089,3.967338,0.00382,842595000000.0,-0.013,7e-06,33.528999999999996,33.25785714285714,,,,,,32.93417920959124,32.496515477965254,0.4376637316259888,0.25300493538371066,,,,,-1.3299999999999983,0.5500000000000043,0.0,0.5500000000000043,1.1200000000000045,,,,,,32.41
