Id,Date,Ts Code,Amount,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,r5
997,4/9/2018,601398.SH,931084.508,-0.01,5.86,5.91,5.85,5.88,-0.17,5.87,1584898.7,0.474563437,0.530557188,6.87,96.18,12.59,14.6,
998,4/8/2018,601398.SH,,,,,,,,,,0.464510426,0.545829509,,,,,
999,4/7/2018,601398.SH,,,,,,,,,,0.467090973,0.562518632,,,,,
1000,4/6/2018,601398.SH,,,,,,,,,,0.440608733,0.583497745,,,,,
1001,4/5/2018,601398.SH,,,,,,,,,,0.401158637,0.612868551,,,,,
1002,4/4/2018,601398.SH,1146884.49,-0.01,5.87,5.94,5.84,5.9,-0.17,5.88,1945170.2,0.454711044,0.996361162,6.93,95.88,12.45,14.41,
1003,4/3/2018,601398.SH,1376478.11,-0.08,5.88,5.94,5.84,5.9,-1.34,5.96,2340767.53,0.446848224,1,7.1,96.77,12.32,14.34,
1004,4/2/2018,601398.SH,1803979.996,-0.13,5.96,6.12,5.93,6.08,-2.13,6.09,3005908.45,0.440364672,0.716845933,6.96,95.75,12.4,14.81,
1005,4/1/2018,601398.SH,,,,,,,,,,0.484794455,0.74534867,,,,,
1006,3/31/2018,601398.SH,,,,,,,,,,0.429869013,0.775820343,,,,,
1007,3/30/2018,601398.SH,1443446.371,0,6.09,6.15,6.06,6.1,0,6.09,2365589.57,0.399223328,2.89E-10,6.94,99,12.63,14.44,
1008,3/29/2018,601398.SH,2858443.177,0.11,6.09,6.24,5.92,6,1.84,5.98,4704740.62,0.407649935,0.00310211,6.92,99.65,12.47,14.21,
1009,3/28/2018,601398.SH,2261921.883,0,5.98,6.1,5.9,5.92,0,5.98,3762391.91,0.454697798,0.540186176,6.83,11.4,12.3,14.18,
1010,3/27/2018,601398.SH,2218556.532,-0.04,5.98,6.13,5.92,6.09,-0.66,6.02,3701265.02,0.420047008,0.00034128,6.84,12.65,12.26,14.85,
1011,3/26/2018,601398.SH,2431016.333,-0.28,6.02,6.28,5.95,6.23,-4.44,6.3,4007328.53,0.433137494,0.492496343,6.67,12.42,11.96,15.19,
1012,3/25/2018,601398.SH,,,,,,,,,,0.432915915,0.00000217,,,,,
1013,3/24/2018,601398.SH,,,,,,,,,,0.461666925,0.172688013,,,,,
1014,3/23/2018,601398.SH,2219790.458,-0.17,6.3,6.35,6.15,6.34,-2.63,6.47,3544713.03,0.426636038,0.999981562,6.7,1.75,11.77,14.52,
1015,3/22/2018,601398.SH,1259729.602,-0.02,6.47,6.49,6.36,6.49,-0.31,6.49,1961055.09,0.441753776,0.966473486,7.11,11.2,12.59,14.43,
1016,3/21/2018,601398.SH,1519914.85,-0.04,6.49,6.58,6.43,6.55,-0.61,6.53,2333607.95,0.404466395,0.438663809,7.18,11.88,12.78,13.85,
1017,3/20/2018,601398.SH,1628315.187,0.13,6.53,6.54,6.34,6.35,2.03,6.4,2514772.73,0.660101995,1.63E-10,7.18,13.5,12.96,13.61,
1018,3/19/2018,601398.SH,955871.368,0.04,6.4,6.41,6.3,6.34,0.63,6.36,1504199.62,0.396914791,0.030203484,7.19,12,13.21,13.34,
1019,3/18/2018,601398.SH,,,,,,,,,,0.450090151,0.434668392,,,,,
1020,3/17/2018,601398.SH,,,,,,,,,,0.337187006,0.478331789,,,,,
1021,3/16/2018,601398.SH,1051740.274,-0.1,6.36,6.46,6.35,6.46,-1.55,6.46,1642283.37,0.421829555,0.999999643,7.28,1.41,12.9,13.18,
1022,3/15/2018,601398.SH,979426.517,0.02,6.46,6.47,6.4,6.41,0.31,6.44,1519619.87,0.479571439,0.999986482,7.38,11.15,13,13.37,
1023,3/14/2018,601398.SH,1245072.024,-0.06,6.44,6.5,6.4,6.46,-0.92,6.5,1934814.84,0.450917576,0.490531632,7.2,98.4,12.92,13.2,
1024,3/13/2018,601398.SH,1916691.862,0.02,6.5,6.58,6.48,6.49,0.31,6.48,2937149.05,0.450910904,0.572286904,7.29,99,13.2,13.53,
1025,3/12/2018,601398.SH,2890852.262,-0.07,6.48,6.62,6.45,6.6,-1.07,6.55,4415456.32,0.542661944,0.999961284,7.3,11.9,12.26,13.76,
1026,3/11/2018,601398.SH,,,,,,,,,,0.463400163,0.927118905,,,,,
1027,3/10/2018,601398.SH,,,,,,,,,,0.543689026,0.831647475,,,,,
1028,3/9/2018,601398.SH,1209625.214,0,6.55,6.61,6.53,6.58,0,6.55,1842561.34,0.478500316,0.80358878,7.27,1.3,12.25,13.4,
1029,3/8/2018,601398.SH,1517502.717,-0.08,6.55,6.67,6.52,6.65,-1.21,6.63,2306817.57,0.422629372,0.833048334,7.28,11,12.22,12.98,
1030,3/7/2018,601398.SH,2620109.832,0.08,6.63,6.73,6.58,6.59,1.22,6.55,3933426.35,0.424108049,0.827941947,7.19,98.1,12.39,12.81,
1031,3/6/2018,601398.SH,2875033.346,-0.07,6.55,6.68,6.48,6.65,-1.06,6.62,4386066.96,0.472767183,0.703718127,7.14,98.66,12.34,13.5,
1032,3/5/2018,601398.SH,1357444.336,-0.06,6.62,6.72,6.53,6.67,-0.9,6.68,2052887.78,0.526801046,0.001801592,7.1,96.82,12.23,13.16,
1033,3/4/2018,601398.SH,,,,,,,,,,0.478686193,0.99869399,,,,,
1034,3/3/2018,601398.SH,,,,,,,,,,0.585215517,0.694798795,,,,,
1035,3/2/2018,601398.SH,1089812.841,-0.01,6.68,6.72,6.58,6.61,-0.15,6.69,1636773.5,0.567768268,0.676667131,7.17,96.19,11.77,13.13,
1036,3/1/2018,601398.SH,1275672.236,0.02,6.69,6.76,6.59,6.63,0.3,6.67,1904846.06,0.554778761,0.997714334,7,94.91,11.89,13.1,
1037,2/28/2018,601398.SH,1615860.477,-0.12,6.67,6.77,6.63,6.71,-1.77,6.79,2413871.93,0.618714444,0.678898995,6.92,93.3,11.79,12.68,
1038,2/27/2018,601398.SH,2345465.632,-0.23,6.79,7.03,6.71,7,-3.28,7.02,3437453.92,0.25,0.674762473,6.91,95.12,11.6,12.78,
1039,2/26/2018,601398.SH,1973958.671,0.01,7.02,7.17,6.94,7.06,0.14,7.01,2804496.42,0.305643697,0.204135164,6.95,97.2,11.7,12.42,
1040,2/25/2018,601398.SH,,,,,,,,,,0.503428807,0.999974145,,,,,
1041,2/24/2018,601398.SH,,,,,,,,,,0.572606258,0.705358707,,,,,
1042,2/23/2018,601398.SH,1324991.245,0.01,7.01,7.04,6.93,7.03,0.14,7,1895043.05,0.423827667,0.710140636,6.85,96.81,11.46,12.11,
1043,2/22/2018,601398.SH,1789568.288,0.12,7,7.08,6.96,7.03,1.74,6.88,2546631.05,0.509843556,0.662211687,6.87,96.2,11.5,11.87,
1044,2/21/2018,601398.SH,,,,,,,,,,0.589218944,0.500422137,,,,,
1045,2/20/2018,601398.SH,,,,,,,,,,0.486860952,0.001450159,,,,,
1046,2/19/2018,601398.SH,,,,,,,,,,0.520730936,0.596592912,,,,,
1047,2/18/2018,601398.SH,,,,,,,,,,0.482240551,0.529362706,,,,,
1048,2/17/2018,601398.SH,,,,,,,,,,0.423867463,0.500030039,,,,,
1049,2/16/2018,601398.SH,,,,,,,,,,0.505644359,0.465011607,,,,,
1050,2/15/2018,601398.SH,,,,,,,,,,0.489218716,0.432144927,,,,,
1051,2/14/2018,601398.SH,1234093.936,0.08,6.88,6.9,6.73,6.79,1.18,6.8,1805734.19,0.439710215,0.420765392,6.63,94.28,11.32,11.74,
1052,2/13/2018,601398.SH,2865744.342,0.19,6.8,6.88,6.64,6.66,2.87,6.61,4239094.48,0.495956837,0.490651264,6.66,93.99,11.31,11.82,
1053,2/12/2018,601398.SH,2344434.626,-0.07,6.61,6.71,6.52,6.64,-1.05,6.68,3544422.41,0.506341519,0.472994322,6.67,93.88,11.48,11.65,
1054,2/11/2018,601398.SH,,,,,,,,,,0.507185595,0.463599592,,,,,
1055,2/10/2018,601398.SH,,,,,,,,,,0.466425822,0.457527851,,,,,
1056,2/9/2018,601398.SH,3985698.498,-0.14,6.68,6.72,6.43,6.58,-2.05,6.82,6043811.55,0.4594967,0.999999875,6.57,91.9,11.37,11.19,
1057,2/8/2018,601398.SH,3715985.911,-0.31,6.82,7.08,6.69,7.05,-4.35,7.13,5409203.79,0.536887278,0.550923049,6.88,94,11.32,11.82,
