Date,Unnamed: 0,Id,Ts Code,Amount_x,Change,Close,High,Low,Open,Pct Chg,Pre Close,Vol,comment_sentiment,news_sentiment,r1,r2,r3,r4,Ret,PE,PB,PS,Turnover,CirculatedMarketValue,ChangeRatio,Liquidility,MA_5,MA_7,MA_21,20sd,upper_band,lower_band,RSI,EMA_12,EMA_26,MACD,Signal_Line,W%R,K,D,J,up_move,down_move,plus_dm,minus_dm,TR,plus_di,minus_di,DX,ADX,ADXR,momentum
2/25/2018,40,1040,601398.SH,1835228.439,-0.11,6.9,7.035,6.82,7.015,-1.57,7.01,2666248.485,0.503428807,0.999974145,6.88,95.965,11.53,12.445,3.6328075,8.5971395,1.1485935,3.43563,0.000985,2.46E+12,-0.015665,7.00E-06,6.984982134,6.989227961,6.975352847,0.202151964,7.379656775,6.571048919,62.31107619,6.979451555,7.015971606,-0.036520051,-0.039105666,-37.19008264,62.80991736,77.10055096,34.22865014,-0.09,0.13,0,0.13,0.215,17.4589405,20.37623165,7.710526961,48.93352511,43.12941102,5.9
2/26/2018,41,1039,601398.SH,1973958.671,0.01,7.02,7.17,6.94,7.06,0.14,7.01,2804496.42,0.305643697,0.204135164,6.95,97.2,11.7,12.42,3.569801,8.746655,1.168569,3.49538,0.00104,2.50E+12,0.00143,7.00E-06,6.988,6.992110627,6.940590942,0.139000275,7.218591493,6.662590392,82.04019434,6.985689777,7.016270005,-0.030580228,-0.037400579,-28.30188679,71.69811321,71.83325537,71.42782889,0.135,0.12,0.135,0,0.23,22.96502368,19.38051145,8.464911872,44.26823879,43.22688427,6.02
2/27/2018,42,1038,601398.SH,2345465.632,-0.23,6.79,7.03,6.71,7,-3.28,7.02,3437453.92,0.25,0.674762473,6.91,95.12,11.6,12.78,3.690722,8.460084,1.130283,3.380859,0.00127,2.42E+12,-0.03276,7.00E-06,6.946,6.962130096,6.903448085,0.131133196,7.165714477,6.641181693,49.26451264,6.955583658,6.999509264,-0.043925607,-0.038705584,-82.60869565,17.39130435,50.63311164,-49.09231023,-0.14,0.23,0,0.23,0.32,15.1325067,28.29924773,30.31593176,42.38059088,43.87041813,5.79
2/28/2018,43,1037,601398.SH,1615860.477,-0.12,6.67,6.77,6.63,6.71,-1.77,6.79,2413871.93,0.618714444,0.678898995,6.92,93.3,11.79,12.68,3.757121,8.310568,1.110307,3.321109,0.0009,2.38E+12,-0.01767,7.00E-06,6.878,6.914285714,6.881543323,0.139497884,7.160539092,6.602547555,35.41304703,6.91164771,6.975101171,-0.06345346,-0.043655159,-92.59259259,7.407407407,32.16560832,-42.10899442,-0.26,0.08,0,0.08,0.14,15.32365416,28.23565927,29.64235221,39.85052381,43.79049824,5.67
3/1/2018,44,1036,601398.SH,1275672.236,0.02,6.69,6.76,6.59,6.63,0.3,6.67,1904846.06,0.554778761,0.997714334,7,94.91,11.89,13.1,3.745889,8.335487,1.113636,3.331067,0.00071,2.38E+12,0.003,2.00E-06,6.814,6.87,6.875352847,0.138741737,7.152836322,6.597869372,37.1590619,6.877548062,6.953982565,-0.076434503,-0.050211028,-82.75862069,17.24137931,14.01336369,23.69741055,-0.01,0.04,0,0.04,0.17,15.32365416,29.91986993,32.26144749,37.80444752,43.13329529,5.69
3/2/2018,45,1035,601398.SH,1089812.841,-0.01,6.68,6.72,6.58,6.61,-0.15,6.69,1636773.5,0.567768268,0.676667131,7.17,96.19,11.77,13.13,3.751497,8.323028,1.111972,3.326088,0.00061,2.38E+12,-0.00149,2.00E-06,6.77,6.822857143,6.875352847,0.141199431,7.15775171,6.592953985,26.37034404,6.847156053,6.93368756,-0.086531508,-0.057475124,-83.05084746,16.94915254,13.86597975,23.11549812,-0.04,0.01,0,0.01,0.14,10.78824599,31.06054678,48.4417816,37.64694627,43.27487278,5.68
3/3/2018,46,1034,601398.SH,1316558.286,-0.02,6.655,6.74,6.56,6.65,-0.3,6.675,1978866.92,0.585215517,0.694798795,7.05,95.865,12.06,13.13,3.7656935,8.2918785,1.10781,3.31364,0.000735,2.37E+12,-0.00299,2.50E-06,6.697,6.772142857,6.872495704,0.146905813,7.166307331,6.578684078,23.8382215,6.817593583,6.913044037,-0.095450454,-0.06507019,-84.42622951,15.57377049,16.58810078,13.54510991,0.02,0.02,0.02,0,0.18,11.54387599,29.12575367,43.2309756,36.66115191,43.55576999,5.655
3/4/2018,47,1033,601398.SH,1982423.094,-0.04,6.615,6.7,6.53,6.63,-0.605,6.655,3011420.23,0.478686193,0.99869399,7.155,97.425,12.055,13.315,3.7887255,8.2420405,1.101152,3.2937235,0.00112,2.36E+12,-0.00603,3.00E-06,6.662,6.731428571,6.866543323,0.146427202,7.159397728,6.573688918,22.34526863,6.78642534,6.890966701,-0.104541362,-0.072964424,-86.71875,13.28125,15.26805768,9.307634644,-0.04,0.03,0,0.03,0.17,10.30289509,30.56272254,49.57670683,36.34629136,44.28718845,5.615
3/5/2018,48,1032,601398.SH,1357444.336,-0.06,6.62,6.72,6.53,6.67,-0.9,6.68,2052887.78,0.526801046,0.001801592,7.1,96.82,12.23,13.16,3.785498,8.24827,1.101984,3.296213,0.00076,2.36E+12,-0.00898,3.00E-06,6.652,6.674285714,6.867019514,0.156731578,7.18048267,6.553556358,22.86990446,6.760821441,6.870895094,-0.110073653,-0.08038627,-85.9375,14.0625,14.30584016,13.57581967,0.02,0,0.02,0,0.19,10.90368114,27.59517647,43.35581979,34.81063669,45.17591996,5.62
3/6/2018,49,1031,601398.SH,2875033.346,-0.07,6.55,6.68,6.48,6.65,-1.06,6.62,4386066.96,0.472767183,0.703718127,7.14,98.66,12.34,13.5,3.825954,8.161053,1.090332,3.261359,0.00163,2.33E+12,-0.01057,4.00E-06,6.624,6.64,6.855114752,0.17226517,7.199645092,6.510584412,20.78646243,6.728387373,6.847125087,-0.118737714,-0.088056559,-89.85507246,10.14492754,12.49622585,5.442330918,-0.04,0.05,0,0.05,0.2,10.47346817,26.94926774,44.02617598,33.35271589,45.44286467,5.55
