userId,userName,gz_num,fs_num,intro,age
3990145336993448,耳朵财经,0,1233,聆听区块链的声音。 专注报道区块链行业的新技术和新项目，旗下的【区块链108将】是专注报道区块链行业领军人物的专访栏目。,2.9年
6271014794699834,股友p5cGBX,1,9,这个人很懒，什么都没有留下,4.7年
5337094238350492,全Z,6,13,与时并进,6.5年
2189165342297370,经济观察报,0,27621,《经济观察报》总能在最恰当的时点与您分享最有价值的财经资讯和商业思想。,2.9年
7768513556558786,满满金盆,1,221,这个人很懒，什么都没有留下,8.7年
5003345794931408,美年健康使者,1,3,这个人很懒，什么都没有留下,1.5年
8606094340966796,财神兔123,29,0,宽善 厚德,6.2年
9868385542757968,m弥勒佛m,17,7,这个人很懒，什么都没有留下,2.3年
7082094407633080,敏敏彼岸花,51,99,很多股票不需要再见，因为仅仅路过而已，遗忘就是对彼此最好的安慰。花开开彼岸，花开落叶永不见。一入股海深似狱，一入红尘醉如痴，既然无缘，何必相守，蓦然回首、君已陌路……,5.9年
7768513556558786,满满金盆,1,221,这个人很懒，什么都没有留下,8.7年
3464355869808682,金山银滩,71,17,这个人很懒，什么都没有留下,1.2年
3464355869808682,金山银滩,71,17,这个人很懒，什么都没有留下,1.2年
7754034730822980,海岸线13,4,3,这个人很懒，什么都没有留下,4.9年
5236094521741586,zl2862980352,11,34,这个人很懒，什么都没有留下,5.6年
3046315509275138,lanmo1,7,7,这个人很懒，什么都没有留下,2.4年
1636375542818460,华东瘟鸡,6,34,这个人很懒，什么都没有留下,2.3年
3749045024954458,永远的三层仓,38,3,我们要认清大A的本质！,4年
5872094200046396,俺只猜暴跌惨惨惨,0,366,总猜猜几个涨停板？或跌停板,6.6年
8164094228904916,爱琴海sunshine,17,30,这个人很懒，什么都没有留下,6.5年
5508045324305826,基民mMB0WQ,17,0,这个人很懒，什么都没有留下,3年
5872094200046396,俺只猜暴跌惨惨惨,0,366,总猜猜几个涨停板？或跌停板,6.6年
6928095019202094,傻白甜大韭菜,1,6,这个人很懒，什么都没有留下,4年
8675095047122558,快跑那头熊,1,10,这个人很懒，什么都没有留下,3.9年
6477375815594462,蚆韭特,3,17,牛年行大运,1.4年
6034144900804446,回本了就撤退,4,0,股海无涯，沉沦迷茫，冒险探索，风险刺激！,4.4年
6206385935856406,富贵州鹤得五散人,1,0,这个人很懒，什么都没有留下,1年
5315094249533284,我是小小兵1983,50,142,,6.4年
4537375691285136,我滴小乖乖,51,3,这个人很懒，什么都没有留下,1.8年
7082094407633080,敏敏彼岸花,51,99,很多股票不需要再见，因为仅仅路过而已，遗忘就是对彼此最好的安慰。花开开彼岸，花开落叶永不见。一入股海深似狱，一入红尘醉如痴，既然无缘，何必相守，蓦然回首、君已陌路……,5.9年
9074375676802352,幸福小桃子,7,1,厚德载物,1.9年
8125094467183642,不在任何股亏一分,6,1,这个人很懒，什么都没有留下,5.7年
2641355866116412,股友t5cjyo,2,18,这个人很懒，什么都没有留下,1.2年
9730365621182372,何时解套vs何以解忧,0,1,这个人很懒，什么都没有留下,2年
8082305954863144,晚辰谈币,0,24,这个人很懒，什么都没有留下,11个月
8661064685033920,股友CxFmYb,1,27,,5年
3954385556628668,梦若神姬的真跌,18,0,这个人很懒，什么都没有留下,2.2年
5025044913944006,股市小小少年,0,14,这个人很懒，什么都没有留下,4.3年
5653014029962018,why0106,17,79,这个人很懒，什么都没有留下,7.2年
3170095286805696,发现对倒的骗线,13,74,脉冲式的k线，都是骗线！涨停除外！,3.1年
2766315822771488,大吉有余地韦小宝,1,1,这个人很懒，什么都没有留下,1.4年
3214055075040676,小散被掏空,5,8,这个人很懒，什么都没有留下,3.8年
4334325618214160,青青来了,26,3,这个人很懒，什么都没有留下,2年
9375065301818982,吉星二号,2,10,这个人很懒，什么都没有留下,3.1年
5038095127879260,矢豆敬木,3,4,这个人很懒，什么都没有留下,3.6年
4675094364869050,我是风云88,73,93,这个人很懒，什么都没有留下,6.1年
6379045060652468,格雷厄姆不微笑,13,9,在恐惧中贪婪！,3.8年
4198055142921896,X7777777,3,8,这个人很懒，什么都没有留下,3.6年
1852385892554770,滴滴吹,0,1,追涨快，割肉狠。。,1.2年
4232094371156888,路遥知马力监护人,49,68,,6.1年
4281094550250814,波段价值投资6,0,421,这个人很懒，什么都没有留下,5.5年
3067365673923108,股友d7Jy00,0,113,这个人很懒，什么都没有留下,1.9年
6433135391530994,什么都没有剩,0,3,这个人很懒，什么都没有留下,2.8年
2339375765489350,文乐06,8,0,这个人很懒，什么都没有留下,1.6年
1864645215143296,弹棉花A,7,13,这个人很懒，什么都没有留下,3.3年
4423094406808212,文2玉,1,5,这个人很懒，什么都没有留下,5.9年
8172385629890782,骑民头,9,107,理工大神，文学达人，博古通今，是非分明！两脚踏东西文化！一心评宇宙文章！,2年
5665335510657688,尘世炼心,6,61,一无所获时坚持做正确的事。,2.4年
7600025356834896,好运的人8888,14,1,这个人很懒，什么都没有留下,2.9年
3067395530779390,zer12,0,46,好运来,2.3年
8856094434889452,九丨牧丨之丨金,1,378,亲散，远机！,5.8年
2089113688889588,红雷一声震,1,667,这个人很懒，什么都没有留下,8.2年
7600025356834896,好运的人8888,14,1,这个人很懒，什么都没有留下,2.9年
3875094623661660,许多多998,2,3,进入股海，时刻感慨！悔不当初，往日难改！,5.2年
7768513556558786,满满金盆,1,221,这个人很懒，什么都没有留下,8.7年
7768513556558786,满满金盆,1,221,这个人很懒，什么都没有留下,8.7年
7222094713090234,大发369,4,4,,5年
4106094241429964,股友2NNe0y,3,125,坚定价值投资！,6.5年
4260325794831846,股友tRVPZw,0,56,这个人很懒，什么都没有留下,1.5年
4019375747427756,小韭菜pro,11,0,这个人很懒，什么都没有留下,1.6年
1750215911932806,不追风达人,487,55,如果你不愿意拥有一只股票十年，那就不要考虑拥有它十分钟。---巴菲特,1.1年
7918094240969334,总攻方向,0,292,当过特种兵,6.5年
3067365673923108,股友d7Jy00,0,113,这个人很懒，什么都没有留下,1.9年
3170095286805696,发现对倒的骗线,13,74,脉冲式的k线，都是骗线！涨停除外！,3.1年
1462055445780228,股友zC0PTp,0,0,这个人很懒，什么都没有留下,2.6年
7026004954589290,股友HcJpfS,4,118,这个人很懒，什么都没有留下,4.2年
7765335655311768,股友HOHpCe,11,27,这个人很懒，什么都没有留下,1.9年
4106094241429964,股友2NNe0y,3,125,坚定价值投资！,6.5年
9346385875123532,听雪无音,6,1,怯者无功，贪者先亡,1.2年
6514365943424458,灰色蓝调1,0,0,这个人很懒，什么都没有留下,11个月
9413305560909192,添财金宝,8,0,这个人很懒，什么都没有留下,2.2年
8801084786109730,征帆sail,3,0,这个人很懒，什么都没有留下,4.7年
7768513556558786,满满金盆,1,221,这个人很懒，什么都没有留下,8.7年
6379045060652468,格雷厄姆不微笑,13,9,在恐惧中贪婪！,3.8年
3046105326588112,基民f8yjOg,5,4,这个人很懒，什么都没有留下,3年
9569325650597032,韵达不倒股市不好,4,9,这个人很懒，什么都没有留下,1.9年
8502385934209590,Witton1,7,0,这个人很懒，什么都没有留下,1年
5653014029962018,why0106,17,79,这个人很懒，什么都没有留下,7.2年
8866074970185734,股友GcsXkb,2,21,这个人很懒，什么都没有留下,4.1年
