userId,userName,gz_num,fs_num,intro,age
1.53E+15,券商中国,0,52806,致力于提供最及时的财经资讯，最专业的解读分析，覆盖宏观经济、金融机构、A股市场、上市公司、投资理财等财经领域。,3.5年
1.20E+15,股友蓝胖子,9,4319,蓝胖子每日紫金复盘,2.6年
4.56E+15,大猫好规划,0,6010,客观，专业，中立的保险知识。,1.7年
5.68E+15,蓝鲸财经,0,24465,专注财经新闻报道、财经事件解读。由国内多名资深媒体人担纲主编，第一时间财经新闻报道、财经事件解读，力推富有建设性的深度报道。,2年
7.06E+15,天弘基金,16,126009,指数服务专家，6亿人的理财选择！,5年
9.35E+15,股友k2Z3P6,2,6,这个人很懒，什么都没有留下,8个月
6.16E+15,选支好股票,53,3,步步登高,1.5年
5.81E+15,孙火彬,2,0,这个人很懒，什么都没有留下,1.3年
4.79E+15,每日财报,55,18880,我们与投资者一起读财报，发现新时代的优秀企业，共同学习，共同成长。,2.2年
9.75E+15,竹叶投研,0,21,不走寻常路的女子，有基本面有技术，用客观的眼光去了解和分析市场,11个月
5.56E+15,宁错过不涉险,29,22,这个人很懒，什么都没有留下,6.1年
7.98E+15,股友pUX6lm,4,1,这个人很懒，什么都没有留下,8个月
2.59E+15,迪丽热哥,41,2990,看透真相的吃面群众,2.8年
2.32E+15,烟火升春夏旺秋冬,1,8,这个人很懒，什么都没有留下,3.6年
7.46E+15,only229,2,0,这个人很懒，什么都没有留下,11个月
4.83E+15,最保险,0,18,这个人很懒，什么都没有留下,7个月
6.55E+15,走势_终将完美,1,4,这个人很懒，什么都没有留下,8个月
3.22E+15,up偶333333,0,30,,6个月
6.04E+15,佛山财经看点,0,9,关注佛山经济、为读者提供经济、金融领域资讯,2.3年
2.80E+15,保险一哥,0,4,这个人很懒，什么都没有留下,1.3年
6.65E+15,今日保,0,26724,由保险公司高管、资深传媒人出身的创始人基于对中国保险行业的深刻理解发起成立，深耕保险一线市场，试图还原一个真实的保险市场。,3.1年
8.98E+15,vitiligo,0,314,这个人很懒，什么都没有留下,4.3年
2.16E+15,中段C味大排档酒,2,65,这个人很懒，什么都没有留下,1.5年
2.79E+15,股友PVERoM,0,0,这个人很懒，什么都没有留下,1.4年
2.00E+15,追逐梦想999,1,5,每次只做一只股,6.7年
6.88E+15,老安头Er,2,0,我愿意慢慢变福,9个月
1.87E+15,基民0c5p1a,1,6,这个人很懒，什么都没有留下,2.1年
4.99E+15,我的酸naine,1,3,这个人很懒，什么都没有留下,2.2年
6.87E+15,n1403683021e6fca,1,8,这个人很懒，什么都没有留下,7.1年
8.86E+15,市场千变万化,15,20,这个人很懒，什么都没有留下,5.8年
3.24E+15,进击的韭菜苗子,112,5,这个人很懒，什么都没有留下,1.1年
6.90E+15,晋D2T112,0,1,这个人很懒，什么都没有留下,6.6年
6.15E+15,股友LohZFH,0,1,这个人很懒，什么都没有留下,8个月
6.15E+15,股友LohZFH,0,1,这个人很懒，什么都没有留下,8个月
5.88E+15,股友0YXKWQ,0,2,这个人很懒，什么都没有留下,10个月
9.48E+15,锦鲤保,0,16,最贴心靠谱的保险科普频道,9个月
4.95E+15,压力山大98,5,24,--,6年
3.87E+15,丙寅丙寅寅丙寅寅,247,17,这个人很懒，什么都没有留下,5.5年
4.54E+15,股市胖虎,10,16943,股市胖虎 畅行无阻,2.1年
9.91E+15,低调8888,2,0,平常心待股,11个月
9.93E+15,请你不要再说了,5,1,,2.2年
3.81E+15,开心过客678,0,0,这个人很懒，什么都没有留下,9.1年
6.44E+15,万事有余地文泰来,0,0,这个人很懒，什么都没有留下,6个月
7.77E+15,股友OmRwtE,1,0,这个人很懒，什么都没有留下,10个月
3.81E+15,开心过客678,0,0,这个人很懒，什么都没有留下,9.1年
4.29E+15,说好的牛呢我日,1,0,任你天翻地覆我依然巍然不动,2.3年
7.06E+15,调研部,1,1,,5.1年
1.57E+15,股友g3ii5W,0,0,这个人很懒，什么都没有留下,1.4年
4.02E+15,自律通向自由,5,12,2016.07.01开始学炒股,5.2年
9.36E+15,Hx27422,0,10,这个人很懒，什么都没有留下,6.3年
6.55E+15,走势_终将完美,1,4,这个人很懒，什么都没有留下,8个月
6.06E+15,牛年发发发,0,0,是我的就是我的,6个月
5.83E+15,安息香,88,13,这个人很懒，什么都没有留下,3.5年
3.81E+15,开心过客678,0,0,这个人很懒，什么都没有留下,9.1年
5.56E+15,宁错过不涉险,29,22,这个人很懒，什么都没有留下,6.1年
4.97E+15,合庆合理7,25,0,这个人很懒，什么都没有留下,3.9年
1.54E+15,梦至西洲,38,0,这个人很懒，什么都没有留下,11个月
9.13E+15,成都茶馆321,1,1,新股民,6.8年
2.69E+15,Antoniootonio1,0,9,这个人很懒，什么都没有留下,2.5年
3.71E+15,哒哒哒哒哒韭菜,0,1,这个人很懒，什么都没有留下,10个月
6.02E+15,基民fEIeKu,0,1,这个人很懒，什么都没有留下,7个月
7.06E+15,调研部,1,1,,5.1年
9.13E+15,成都茶馆321,1,1,新股民,6.8年
4.28E+15,基民VqyNei,1,0,这个人很懒，什么都没有留下,1.3年
8.31E+15,股友601l2Q7097,0,32,这个人很懒，什么都没有留下,6个月
5.56E+15,宁错过不涉险,29,22,这个人很懒，什么都没有留下,6.1年
3.48E+15,小新鲜韭菜,8,4,这个人很懒，什么都没有留下,2年
1.21E+15,厉害了我的强,9,0,这个人很懒，什么都没有留下,1.5年
5.82E+15,股友RqrSKM,19,3,这个人很懒，什么都没有留下,1.3年
4.38E+15,天龙八部ZJ777,29,0,这个人很懒，什么都没有留下,6.3年
7.70E+15,股友QjbTfn,0,0,这个人很懒，什么都没有留下,1年
9.20E+15,股友AHhagg,0,0,这个人很懒，什么都没有留下,2年
3.94E+15,发家11,0,1,这个人很懒，什么都没有留下,2.7年
3.94E+15,发家11,0,1,这个人很懒，什么都没有留下,2.7年
3.23E+15,Leopard_1,20,6,醒醒，开盘了，吃面了,2.4年
2.92E+15,股友p0wCuD,6,12,这个人很懒，什么都没有留下,2年
1.84E+15,落袋为安万难贪,0,34,这个人很懒，什么都没有留下,5.9年
9.74E+15,老有所依幼有所养,0,0,这个人很懒，什么都没有留下,1.5年
8.31E+15,股友601l2Q7097,0,32,这个人很懒，什么都没有留下,6个月
